"Abrangência";"Município";"Qt";"%";
"";"NOVO HORIZONTE";"7.927";"0,006"
"";"NOVO TRIUNFO";"7.742";"0,005"
"";"OLINDINA";"19.945";"0,014"
"";"OLIVEIRA DOS BREJINHOS";"15.905";"0,011"
"";"OURIÇANGAS";"6.836";"0,005"
"";"OUROLÂNDIA";"12.941";"0,009"
"";"PALMAS DE MONTE ALTO";"16.200";"0,011"
"";"PALMEIRAS";"6.114";"0,004"
"";"PARAMIRIM";"16.083";"0,011"
"";"PARATINGA";"21.495";"0,015"
"";"PARIPIRANGA";"19.866";"0,014"
"";"PAU BRASIL";"7.342";"0,005"
"";"PAULO AFONSO";"77.806";"0,054"
"";"PÉ DE SERRA";"10.407";"0,007"
"";"PEDRÃO";"5.907";"0,004"
"";"PEDRO ALEXANDRE";"9.235";"0,006"
"";"PIATÃ";"15.024";"0,011"
"";"PILÃO ARCADO";"23.585";"0,017"
"";"PINDAÍ";"11.946";"0,008"
"";"PINDOBAÇU";"14.555";"0,010"
"";"PINTADAS";"8.063";"0,006"
"";"PIRAÍ DO NORTE";"5.434";"0,004"
"";"PIRIPÁ";"9.106";"0,006"
"";"PIRITIBA";"13.257";"0,009"
"";"PLANALTINO";"6.124";"0,004"
"";"PLANALTO";"17.180";"0,012"
"";"POÇÕES";"33.886";"0,024"
"";"POJUCA";"25.064";"0,018"
"";"PONTO NOVO";"12.124";"0,008"
"";"PORTO SEGURO";"82.532";"0,058"
"";"POTIRAGUÁ";"8.794";"0,006"
"";"PRADO";"20.859";"0,015"
"";"PRESIDENTE DUTRA";"10.643";"0,007"
"";"PRESIDENTE JÂNIO QUADROS";"11.137";"0,008"
"";"PRESIDENTE TANCREDO NEVES";"19.060";"0,013"
"";"QUEIMADAS";"18.856";"0,013"
"";"QUINJINGUE";"20.145";"0,014"
"";"QUIXABEIRA";"7.622";"0,005"
"";"RAFAEL JAMBEIRO";"17.247";"0,012"
"";"REMANSO";"28.835";"0,020"
"";"RETIROLÂNDIA";"10.359";"0,007"
"";"RIACHÃO DAS NEVES";"17.266";"0,012"
"";"RIACHÃO DO JACUÍPE";"24.216";"0,017"
"";"RIACHO DE SANTANA";"22.332";"0,016"
"";"RIBEIRA DO AMPARO";"11.408";"0,008"
"";"RIBEIRA DO POMBAL";"39.369";"0,028"
"";"RIBEIRÃO DO LARGO";"6.431";"0,005"
"";"RIO DE CONTAS";"11.523";"0,008"
"";"RIO DO ANTÔNIO";"11.216";"0,008"
"";"RIO DO PIRES";"10.298";"0,007"
"";"RIO REAL";"28.433";"0,020"
"";"RODELAS";"5.915";"0,004"
"";"RUY BARBOSA";"23.678";"0,017"
"";"SALINAS DA MARGARIDA";"10.975";"0,008"
"";"SALVADOR";"1.923.899";"1,347"
"";"SANTA BÁRBARA";"16.932";"0,012"
"";"SANTA BRÍGIDA";"11.671";"0,008"
"";"SANTA CRUZ CABRÁLIA";"17.530";"0,012"
"";"SANTA CRUZ DA VITÓRIA";"4.686";"0,003"
"";"SANTA INÊS";"8.043";"0,006"
"";"SANTA LUZIA";"9.171";"0,006"
"";"SANTA MARIA DA VITÓRIA";"29.477";"0,021"
"";"SANTA RITA DE CÁSSIA";"21.860";"0,015"
"";"SANTA TEREZINHA";"8.440";"0,006"
"";"SANTALUZ";"28.226";"0,020"
"";"SANTANA";"19.209";"0,013"
"";"SANTANÓPOLIS";"8.324";"0,006"
"";"SANTO AMARO";"44.862";"0,031"
"";"SANTO ANTÔNIO DE JESUS";"55.285";"0,039"
"";"SANTO ESTEVÃO";"35.640";"0,025"
"";"SÃO DESIDÉRIO";"18.004";"0,013"
"";"SÃO DOMINGOS";"6.914";"0,005"
"";"SÃO FELIPE";"16.653";"0,012"
"";"SÃO FÉLIX";"9.894";"0,007"
"";"SÃO FÉLIX DO CORIBE";"10.199";"0,007"
"";"SÃO FRANCISCO DO CONDE";"28.743";"0,020"
"";"SÃO GABRIEL";"14.974";"0,010"
"";"SÃO GONÇALO DOS CAMPOS";"23.851";"0,017"
"";"SÃO JOSÉ DA VITÓRIA";"3.968";"0,003"
"";"SÃO JOSÉ DO JACUÍPE";"7.511";"0,005"
"";"SÃO MIGUEL DAS MATAS";"8.278";"0,006"
"";"SÃO SEBASTIÃO DO PASSÉ";"31.184";"0,022"
"";"SAPEAÇU";"13.665";"0,010"
"";"SÁTIRO DIAS";"13.032";"0,009"
"";"SAUBARA";"11.023";"0,008"
